2021-04-14|09:59:06|===========================================|
2021-04-14|09:59:06|Entrando a SetupValoresDeSesion en el Index|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000042 (id: 34)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 34|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: AR|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000042 (id: 34)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 34|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: CCS|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000042 (id: 34)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 34|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: 2021-04-03|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000042 (id: 34)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 34|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: 17:29|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000043 (id: 35)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 35|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: NR|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000043 (id: 35)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 35|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: CCS|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000043 (id: 35)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 35|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: 2021-03-26|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000043 (id: 35)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 35|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: 22:18|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000044 (id: 36)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 36|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 2|
2021-04-14|10:15:48|guia_list_new|Mismo checkpoint para todas las piezas|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000044 (id: 36)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 36|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 2|
2021-04-14|10:15:48|guia_list_new|Mismo checkpoint para todas las piezas|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000044 (id: 36)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 36|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 2|
2021-04-14|10:15:48|guia_list_new|Mismo checkpoint para todas las piezas|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000044 (id: 36)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 36|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 2|
2021-04-14|10:15:48|guia_list_new|Mismo checkpoint para todas las piezas|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000045 (id: 37)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 37|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: NR|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000045 (id: 37)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 37|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: CCS|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000045 (id: 37)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 37|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: 2021-03-26|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000045 (id: 37)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 37|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: 22:18|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000046 (id: 38)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 38|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 3|
2021-04-14|10:15:48|guia_list_new|Las piezas tienen checkpoints diferentes, estatus Mixto|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000046 (id: 38)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 38|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 3|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000046 (id: 38)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 38|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 3|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000046 (id: 38)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 38|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 3|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000047 (id: 39)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 39|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: NR|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000047 (id: 39)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 39|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: CCS|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000047 (id: 39)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 39|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: 2021-03-29|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000047 (id: 39)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 39|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: 10:37|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000048 (id: 40)|
